,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students
South El Monte High,1732.0,South El Monte High School,public,9-12,1425.0,5.0,4.0,South El Monte,CA,273.0,El Monte Union High School District,612120.0,"1001 Durfee Avenue, 
South El Monte, CA  91733",(626) 258-5600,(626) 442-4794,https://www.emuhsd.org/semhs,61212000439.0,34.03515,-118.04508,https://www.greatschools.org/california/south-el-monte/1732-South-El-Monte-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/south-el-monte/1732-South-El-Monte-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/south-el-monte/1732-South-El-Monte-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/south-el-monte/1732-South-El-Monte-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,7.0,,9.0,,8.0,,20,344,90,100,71553,7,8,7,70,270,70,244,32,267,33,242,48,48,93,93,92
Ellen Ochoa Prep Academy,32603.0,Ellen Ochoa Prep Academy,public,9-12,,,,Pico Rivera,CA,270.0,El Rancho Unified School District,612180.0,"8110 Paramount Boulevard, 
Pico Rivera, CA  90660",(562) 801-7560,,www.erusd.org,61218013988.0,33.969864,-118.11276000000001,https://www.greatschools.org/california/pico-rivera/32603-Ellen-Ochoa-Prep-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pico-rivera/32603-Ellen-Ochoa-Prep-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pico-rivera/32603-Ellen-Ochoa-Prep-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/pico-rivera/32603-Ellen-Ochoa-Prep-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Rancho High,1694.0,El Rancho High School,public,9-12,2635.0,6.0,4.0,Pico Rivera,CA,270.0,El Rancho Unified School District,612180.0,"6501 South Passons Boulevard, 
Pico Rivera, CA  90660",(562) 801-7500,(562) 801-5293,www.erusd.org,61218001372.0,33.984146,-118.08696,https://www.greatschools.org/california/pico-rivera/1694-El-Rancho-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pico-rivera/1694-El-Rancho-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pico-rivera/1694-El-Rancho-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/pico-rivera/1694-El-Rancho-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,6.0,,6.0,,6.0,,24,293,91,99,86713,6,6,7,59,553,57,366,30,544,26,358,56,56,95,95,74
El Segundo High,1710.0,El Segundo High School,public,9-12,1255.0,10.0,5.0,El Segundo,CA,271.0,El Segundo Unified School District,612210.0,"640 Main Street, 
El Segundo, CA  90245",(310) 615-2661,(310) 640-8079,http://www.elsegundohigh.org ,61221001388.0,33.924213,-118.41588,https://www.greatschools.org/california/el-segundo/1710-El-Segundo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-segundo/1710-El-Segundo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-segundo/1710-El-Segundo-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/el-segundo/1710-El-Segundo-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,10.0,,9.0,,24,418,96,100,95410,10,9,10,84,291,75,48,72,291,54,48,71,55,98,94,12
Crescenta Valley High,1774.0,Crescenta Valley High School,public,9-12,2670.0,9.0,4.0,La Crescenta,CA,277.0,Glendale Unified School District,615240.0,"2900 Community Avenue, 
La Crescenta, CA  91214",(818) 249-5871,(818) 541-9531,http://www.cvhsfalcons.com/,61524001923.0,34.22367,-118.2422,https://www.greatschools.org/california/la-crescenta/1774-Crescenta-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-crescenta/1774-Crescenta-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-crescenta/1774-Crescenta-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/la-crescenta/1774-Crescenta-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,7.0,,8.0,,27,534,96,100,84241,9,8,9,74,625,66,164,56,625,49,165,70,62,96,92,16
Glendale High,1780.0,Glendale High School,public,9-12,2582.0,6.0,4.0,Glendale,CA,277.0,Glendale Unified School District,615240.0,"1440 East Broadway, 
Glendale, CA  91205",(818) 242-3161,(818) 244-6309,http://glendalehigh.com/,61524001931.0,34.146175,-118.23258999999999,https://www.greatschools.org/california/glendale/1780-Glendale-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/glendale/1780-Glendale-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/glendale/1780-Glendale-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/glendale/1780-Glendale-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,6.0,,5.0,,5.0,,24,609,91,100,79159,6,5,8,56,535,49,354,34,538,29,357,38,32,89,87,69
Anderson W. Clark Magnet High,1772.0,Anderson W. Clark Magnet High School,public,9-12,1103.0,9.0,4.0,La Crescenta,CA,277.0,Glendale Unified School District,615240.0,"4747 New York Avenue, 
La Crescenta, CA  91214",(818) 248-8324,(818) 957-2954,,61524007518.0,34.236927,-118.25305,https://www.greatschools.org/california/la-crescenta/1772-Anderson-W.-Clark-Magnet-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-crescenta/1772-Anderson-W.-Clark-Magnet-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-crescenta/1772-Anderson-W.-Clark-Magnet-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/la-crescenta/1772-Anderson-W.-Clark-Magnet-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,10.0,,10.0,,29,565,95,100,91390,10,10,10,93,230,90,123,76,230,74,123,79,79,96,96,53
Glendora High,1761.0,Glendora High School,public,9-12,2528.0,9.0,4.0,Glendora,CA,276.0,Glendora Unified School District,615270.0,"1600 East Foothill Boulevard, 
Glendora, CA  91741",(626) 963-5731,(626) 963-2880,www.glendora.k12.ca.us/,61527001953.0,34.136124,-117.83549,https://www.greatschools.org/california/glendora/1761-Glendora-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/glendora/1761-Glendora-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/glendora/1761-Glendora-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/glendora/1761-Glendora-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,8.0,,7.0,,24,389,96,99,74690,9,7,10,78,535,64,132,56,540,35,132,63,47,98,97,21
Hawthorne Math and Science Academy,12525.0,Hawthorne Math And Science Academy,charter,9-12,567.0,9.0,4.0,Hawthorne,CA,280.0,Hawthorne School District,616680.0,"4467 West Broadway, 
Hawthorne, CA  90250",(310) 973-8184,(310) 973-8167,www.hawthornemsa.org,61668011295.0,33.920044,-118.35406,https://www.greatschools.org/california/hawthorne/12525-Hawthorne-Math-And-Science-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hawthorne/12525-Hawthorne-Math-And-Science-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hawthorne/12525-Hawthorne-Math-And-Science-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hawthorne/12525-Hawthorne-Math-And-Science-Academy/?utm_source=GSAPI&utm_medium=referral,9.0,10.0,,10.0,,10.0,,23,226,92,92,1480,10,10,10,90,117,89,101,74,117,72,101,76,76,100,100,79
Inglewood High,1855.0,Inglewood High School,public,9-12,1050.0,3.0,3.0,Inglewood,CA,283.0,Inglewood Unified School District,618390.0,"231 South Grevillea Avenue, 
Inglewood, CA  90301",(310) 680-5200,(310) 680-5222,http://inglewood.iusd.net/,61839002254.0,33.961273,-118.35507,https://www.greatschools.org/california/inglewood/1855-Inglewood-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/inglewood/1855-Inglewood-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/inglewood/1855-Inglewood-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/inglewood/1855-Inglewood-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,1.0,,2.0,,2.0,,23,263,89,100,135614,1,2,1,26,202,28,155,5,200,5,154,25,25,81,82,50
Morningside High,1860.0,Morningside High School,public,9-12,897.0,3.0,4.0,Inglewood,CA,283.0,Inglewood Unified School District,618390.0,"10500 South Yukon Avenue, 
Inglewood, CA  90303",(310) 680-5230,(310) 680-5257,http://morningside.iusd.net/,61839002260.0,33.94077,-118.33511000000001,https://www.greatschools.org/california/inglewood/1860-Morningside-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/inglewood/1860-Morningside-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/inglewood/1860-Morningside-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/inglewood/1860-Morningside-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,2.0,,2.0,,2.0,,26,300,94,100,94241,2,2,2,34,190,34,165,8,190,9,165,16,16,83,85,72
City Honors College Preparatory Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animo Inglewood Charter High,25213.0,Animo Inglewood Charter High School,charter,9-12,642.0,6.0,4.0,Inglewood,CA,283.0,Inglewood Unified School District,618390.0,"3425 West Manchester Boulevard, 
Inglewood, CA  90305",(323) 565-2100,(310) 673-0510,www.greendot.org/inglewood,61839010538.0,33.960029999999996,-118.33138000000001,https://www.greatschools.org/california/inglewood/25213-Animo-Inglewood-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/inglewood/25213-Animo-Inglewood-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/inglewood/25213-Animo-Inglewood-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/inglewood/25213-Animo-Inglewood-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,6.0,,6.0,,6.0,,22,314,79,96,57981,6,6,6,59,148,59,143,30,148,30,143,77,77,88,88,91
La Canada High,2515.0,La Canada High School,public,7-12,2102.0,10.0,4.0,La Canada,CA,288.0,La Canada Unified School District,620130.0,"4463 Oak Grove Drive, 
La Canada, CA  91011",(818) 952-4200,,www.lchsspartans.net/,62013002408.0,34.18809,-118.179,https://www.greatschools.org/california/la-canada/2515-La-Canada-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-canada/2515-La-Canada-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-canada/2515-La-Canada-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/la-canada/2515-La-Canada-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,10.0,,9.0,,25,231,93,99,85039,10,9,,86,342,70,61,82,344,70,61,74,71,98,100,1
Agoura High,2622.0,Agoura High School,public,9-12,2075.0,8.0,3.0,Agoura,CA,294.0,Las Virgenes Unified School District,621000.0,"28545 West Driver Avenue, 
Agoura, CA  91301",(818) 889-1262,(818) 597-0816,www.agourahighschool.net,62100002518.0,34.15104,-118.74948,https://www.greatschools.org/california/agoura/2622-Agoura-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/agoura/2622-Agoura-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/agoura/2622-Agoura-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/agoura/2622-Agoura-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,5.0,,5.0,,24,418,80,100,88867,9,5,9,71,429,50,54,52,431,28,54,62,40,94,87,7
Calabasas High,2624.0,Calabasas High School,public,9-12,1903.0,8.0,4.0,Calabasas,CA,294.0,Las Virgenes Unified School District,621000.0,"22855 West Mulholland Highway, 
Calabasas, CA  91302",(818) 222-7177,(818) 223-8477,www.calabasashigh.net,62100002519.0,34.13816,-118.62343,https://www.greatschools.org/california/calabasas/2624-Calabasas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/calabasas/2624-Calabasas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/calabasas/2624-Calabasas-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/calabasas/2624-Calabasas-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,7.0,,4.0,,4.0,,29,382,76,100,93776,7,4,8,59,497,40,55,44,490,25,55,63,36,93,88,8
Environmental Charter High,11953.0,Environmental Charter High School,charter,9-12,515.0,7.0,4.0,Lawndale,CA,287.0,Lawndale Elementary School District,621210.0,"16315 Grevillea Avenue, 
Lawndale, CA  90260",(310) 214-3400,(310) 214-3410,www.ecsonline.org,62121008718.0,33.882553,-118.35488000000001,https://www.greatschools.org/california/lawndale/11953-Environmental-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lawndale/11953-Environmental-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lawndale/11953-Environmental-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/lawndale/11953-Environmental-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,7.0,,8.0,,7.0,,18,169,71,93,53396,7,7,6,61,137,62,116,31,136,31,115,100,100,90,90,80
"Lennox Mathematics, Science and Technology Academy",12562.0,"Lennox Mathematics, Science And Technology Academy",charter,9-12,563.0,7.0,4.0,Lennox,CA,289.0,Lennox School District,621420.0,"11036 Hawthorne Boulevard, 
Lennox, CA  90304",(310) 680-5600,(310) 671-5029,www.lennoxacademy.org,62142011328.0,33.93528,-118.3525,"https://www.greatschools.org/california/lennox/12562-Lennox-Mathematics,-Science-And-Technology-Academy/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/california/lennox/12562-Lennox-Mathematics,-Science-And-Technology-Academy/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/california/lennox/12562-Lennox-Mathematics,-Science-And-Technology-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews","https://www.greatschools.org/california/lennox/12562-Lennox-Mathematics,-Science-And-Technology-Academy/?utm_source=GSAPI&utm_medium=referral",5.0,8.0,,8.0,,8.0,,23,572,84,100,67209,8,8,8,72,145,71,140,,,,,76,75,96,95,95
Animo Leadership High,11732.0,Animo Leadership High School,charter,9-12,638.0,6.0,5.0,Inglewood,CA,289.0,Lennox School District,621420.0,"11044 South Freeman Avenue, 
Inglewood, CA  90301",(310) 216-3277,(310) 216-7934,www.greendot.org/leadership,62142008504.0,33.93477,-118.3477,https://www.greatschools.org/california/inglewood/11732-Animo-Leadership-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/inglewood/11732-Animo-Leadership-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/inglewood/11732-Animo-Leadership-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/inglewood/11732-Animo-Leadership-High-School/?utm_source=GSAPI&utm_medium=referral,3.0,7.0,,7.0,,7.0,,22,309,78,92,62543,7,7,7,77,155,76,152,21,155,20,152,96,96,94,94,94
"Ernest S. McBride, Sr. High",27235.0,Ernest S. McBride Sr. High School,public,9-12,650.0,7.0,4.0,Long Beach,CA,292.0,Long Beach Unified School District,622500.0,"7025 East Parkcrest Street, 
Long Beach, CA  90808",(562) 425-3539,,http://mcbride-lbusd-ca.schoolloop.com/,62250013105.0,33.82947,-118.09678999999998,https://www.greatschools.org/california/long-beach/27235-Ernest-S.-McBride-Sr.-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/long-beach/27235-Ernest-S.-McBride-Sr.-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/long-beach/27235-Ernest-S.-McBride-Sr.-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/long-beach/27235-Ernest-S.-McBride-Sr.-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,9.0,,7.0,,8.0,,23,569,96,100,87351,9,8,10,77,165,71,76,50,167,42,77,63,47,96,97,40
Clear Passage Educational Center,32044.0,Clear Passage Educational Center,charter,9-12,4.0,,,Long Beach,CA,292.0,Long Beach Unified School District,622500.0,"1471 Martin Luther King Junior Avenue, 
Long Beach, CA  90813",(888) 502-1116,,www.cpecschool.org,62250013860.0,33.784523,-118.18093999999999,https://www.greatschools.org/california/long-beach/32044-Clear-Passage-Educational-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/long-beach/32044-Clear-Passage-Educational-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/long-beach/32044-Clear-Passage-Educational-Center/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/long-beach/32044-Clear-Passage-Educational-Center/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,9,9,9,9,11,9,11,,,,,,,,,
Eunice Sato Academy of Math & Science,32045.0,Eunice Sato Academy Of Math & Science,public,9-12,121.0,10.0,,Long Beach,CA,292.0,Long Beach Unified School District,622500.0,"1100 Iroquois Avenue, 
Long Beach, CA  90815",(562) 598-7611,,,62250013896.0,33.780884,-118.10513,https://www.greatschools.org/california/long-beach/32045-Eunice-Sato-Academy-Of-Math-&-Science/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/long-beach/32045-Eunice-Sato-Academy-Of-Math-&-Science/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/long-beach/32045-Eunice-Sato-Academy-Of-Math-&-Science/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/long-beach/32045-Eunice-Sato-Academy-Of-Math-&-Science/?utm_source=GSAPI&utm_medium=referral,,10.0,,10.0,,10.0,,16,240,87,100,87360,10,10,10,92,105,92,37,88,105,81,37,,,,,41
Richard D. Browning High,32606.0,Richard D. Browning High,public,9-12,,,,Long Beach,CA,292.0,Long Beach Unified School District,622500.0,"2120 Obispo Avenue, 
Long Beach, CA  90804",(562) 997-8000,,,62250014120.0,33.79548,-118.15456999999999,https://www.greatschools.org/california/long-beach/32606-Richard-D.-Browning-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/long-beach/32606-Richard-D.-Browning-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/long-beach/32606-Richard-D.-Browning-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/long-beach/32606-Richard-D.-Browning-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
