,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities
Humanities and Arts (HARTS) Academy of Los Angeles,31125,Humanities And Arts (Harts) Academy Of Los Angeles,public,9-12,460,4,,Harbor City,CA,286,Los Angeles Unified School District,0622710,"24300 South Western Avenue, 
Harbor City, CA  90710",(310) 257-4300,,www.hartsacademy.org,062271013579,33.804104,-118.30737,https://www.greatschools.org/california/harbor-city/31125-Humanities-And-Arts-(Harts)-Academy-Of-Los-Angeles/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/harbor-city/31125-Humanities-And-Arts-(Harts)-Academy-Of-Los-Angeles/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/harbor-city/31125-Humanities-And-Arts-(Harts)-Academy-Of-Los-Angeles/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/harbor-city/31125-Humanities-And-Arts-(Harts)-Academy-Of-Los-Angeles/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Contreras Learning Center-School of Social Justice,31206,Contreras Learning Center-School Of Social Justice,public,9-12,511,3,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"322 South Lucas Avenue, 
Los Angeles, CA  90017",(213) 240-3800,,www.socialjusticemclc.org/,062271013271,34.058178,-118.26087,https://www.greatschools.org/california/los-angeles/31206-Contreras-Learning-Center-School-Of-Social-Justice/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/31206-Contreras-Learning-Center-School-Of-Social-Justice/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/31206-Contreras-Learning-Center-School-Of-Social-Justice/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/31206-Contreras-Learning-Center-School-Of-Social-Justice/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Early College Academy-LA Trade Tech College,31126,Early College Academy-La Trade Tech College,public,9-12,182,2,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"400 West Washington Boulevard, 
Los Angeles, CA  90015",(213) 763-3685,,www.ecalattc.org,062271013434,34.03318,-118.27006,https://www.greatschools.org/california/los-angeles/31126-Early-College-Academy-La-Trade-Tech-College/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/31126-Early-College-Academy-La-Trade-Tech-College/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/31126-Early-College-Academy-La-Trade-Tech-College/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/31126-Early-College-Academy-La-Trade-Tech-College/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Valor Academy High,31131,Valor Academy High School,charter,9-12,345,5,,Panorama City,CA,286,Los Angeles Unified School District,0622710,"9356 Lemona Avenue, North Hills, CA 91343, 
Panorama City, CA  91402",(818) 934-8910,,www.brightstarschools.org/vahs,062271013564,34.229374,-118.45026,https://www.greatschools.org/california/panorama-city/31131-Valor-Academy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/panorama-city/31131-Valor-Academy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/panorama-city/31131-Valor-Academy-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/panorama-city/31131-Valor-Academy-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Camino Nuevo High #2,31133,Camino Nuevo High No. 2,charter,9-12,472,5,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"3500 West Temple Street, 
Los Angeles, CA  90004",(213) 736-5566,,http://dalzelllance.caminonuevo.org,062271013537,34.076443,-118.2855,https://www.greatschools.org/california/los-angeles/31133-Camino-Nuevo-High-No.-2/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/31133-Camino-Nuevo-High-No.-2/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/31133-Camino-Nuevo-High-No.-2/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/31133-Camino-Nuevo-High-No.-2/?utm_source=GSAPI&utm_medium=referral,,,,,,,
"Boyle Heights Science, Technology, Engineering and Math Magnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVA College Preparatory Academy,32061,Nava College Preparatory Academy,public,9-12,491,3,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"1319 East 41st Street, 
Los Angeles, CA  90011",(323) 235-6800,,www.navacollegeprep.weebly.com/,062271013737,34.00955,-118.25116,https://www.greatschools.org/california/los-angeles/32061-Nava-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32061-Nava-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32061-Nava-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/32061-Nava-College-Preparatory-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,
TEACH Tech Charter High,32064,Teach Tech Charter High,charter,9-12,300,3,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"10616 South Western Avenue, 
Los Angeles, CA  90047",(323) 750-8471,,http://teachpublicschools.org/,062271013741,33.94512,-118.30865,https://www.greatschools.org/california/los-angeles/32064-Teach-Tech-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32064-Teach-Tech-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32064-Teach-Tech-Charter-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/32064-Teach-Tech-Charter-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Sylmar Biotech Health and Engineering Magnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collegiate Charter High School of Los Angeles,32075,Collegiate Charter High School Of Los Angeles,charter,9-12,54,9,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"312 North Record Avenue, 
Los Angeles, CA  90063",(213) 304-7077,,www.collegiatecharterhighschool.org,062271013851,34.039318,-118.18046,https://www.greatschools.org/california/los-angeles/32075-Collegiate-Charter-High-School-Of-Los-Angeles/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32075-Collegiate-Charter-High-School-Of-Los-Angeles/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32075-Collegiate-Charter-High-School-Of-Los-Angeles/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/32075-Collegiate-Charter-High-School-Of-Los-Angeles/?utm_source=GSAPI&utm_medium=referral,,,,,,,
University Preparatory Value High,32080,University Preparatory Value High,charter,9-12,111,5,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"1929 West Pico Boulevard, 
Los Angeles, CA  90006",(213) 382-1223,,http://valueschools.com,062271012699,34.04678,-118.28094,https://www.greatschools.org/california/los-angeles/32080-University-Preparatory-Value-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32080-University-Preparatory-Value-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32080-University-Preparatory-Value-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/32080-University-Preparatory-Value-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Bert Corona Charter High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ednovate - East College Prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise Kohyang High,32610,Rise Kohyang High,charter,9-12,,,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"600 South Lafayette Park Place Second Floor, 
Los Angeles, CA  90057",(323) 284-2553,,http://brightstarschools.org/rkhs,062271013974,34.062412,-118.28215,https://www.greatschools.org/california/los-angeles/32610-Rise-Kohyang-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32610-Rise-Kohyang-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32610-Rise-Kohyang-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/32610-Rise-Kohyang-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
WISH Academy High,32614,Wish Academy High,charter,9-12,130,,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"7400 West Manchester Avenue, 
Los Angeles, CA  90045",(310) 743-6990,,www.wishcharter.org,062271014098,33.957764,-118.42888,https://www.greatschools.org/california/los-angeles/32614-Wish-Academy-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32614-Wish-Academy-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32614-Wish-Academy-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/32614-Wish-Academy-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Ednovate - Esperanza College Prep,32618,Ednovate - Esperanza College Prep,charter,9-12,,,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"319 North Humphreys Avenue, 
Los Angeles, CA  90022",(323) 457-0050,,www.ednovate.org/esperanza,062271014117,34.038933,-118.17147,https://www.greatschools.org/california/los-angeles/32618-Ednovate---Esperanza-College-Prep/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32618-Ednovate---Esperanza-College-Prep/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32618-Ednovate---Esperanza-College-Prep/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/32618-Ednovate---Esperanza-College-Prep/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Ednovate - Brio College Prep,32619,Ednovate - Brio College Prep,charter,9-12,,,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"600 South La Fayette Park Place, 
Los Angeles, CA  90057",(323) 446-2570,,www.ednovate.org/picounionwestlake,062271014104,34.062412,-118.28215,https://www.greatschools.org/california/los-angeles/32619-Ednovate---Brio-College-Prep/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32619-Ednovate---Brio-College-Prep/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32619-Ednovate---Brio-College-Prep/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/32619-Ednovate---Brio-College-Prep/?utm_source=GSAPI&utm_medium=referral,,,,,,,
University Pathways Medical Magnet Academy,32625,University Pathways Medical Magnet Academy,public,9-12,,,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"234 East 112th Street, 
Los Angeles, CA  90061",(323) 241-4000,,,,33.931995,-118.27365,https://www.greatschools.org/california/los-angeles/32625-University-Pathways-Medical-Magnet-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32625-University-Pathways-Medical-Magnet-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32625-University-Pathways-Medical-Magnet-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/32625-University-Pathways-Medical-Magnet-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,
University Pathways Public Service Academy,32626,University Pathways Public Service Academy,public,9-12,,,,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"8511 Compton Avenue, 
Los Angeles, CA  90001",(323) 826-1700,,,,33.960754,-118.24809,https://www.greatschools.org/california/los-angeles/32626-University-Pathways-Public-Service-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32626-University-Pathways-Public-Service-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/32626-University-Pathways-Public-Service-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/32626-University-Pathways-Public-Service-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Matrix for Success Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley International Preparatory High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Media Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phineas Banning Senior High,1920,Phineas Banning Senior High School,public,9-12,1994,3,3,Wilmington,CA,286,Los Angeles Unified School District,0622710,"1527 Lakme Avenue, 
Wilmington, CA  90744",(310) 847-3700,(310) 830-5515,www.banninghs.org,062271002838,33.794037,-118.2608,https://www.greatschools.org/california/wilmington/1920-Phineas-Banning-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/wilmington/1920-Phineas-Banning-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/wilmington/1920-Phineas-Banning-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/wilmington/1920-Phineas-Banning-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Bell Senior High,1927,Bell Senior High School,public,9-12,3049,3,3,Bell,CA,286,Los Angeles Unified School District,0622710,"4328 Bell Avenue, 
Bell, CA  90201",(323) 832-4700,(323) 560-7874,www.bellhs.org,062271002844,33.97466,-118.19031,https://www.greatschools.org/california/bell/1927-Bell-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/bell/1927-Bell-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/bell/1927-Bell-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/bell/1927-Bell-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Belmont Senior High,1930,Belmont Senior High School,public,9-12,960,4,3,Los Angeles,CA,286,Los Angeles Unified School District,0622710,"1575 West 2nd Street, 
Los Angeles, CA  90026",(213) 241-4300,(213) 250-9706,www.Belmonthighschool.org,062271007751,34.061222,-118.26301,https://www.greatschools.org/california/los-angeles/1930-Belmont-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/1930-Belmont-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/1930-Belmont-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/1930-Belmont-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Birmingham Community Charter High,1936,Birmingham Community Charter High School,charter,9-12,3278,6,3,Lake Balboa,CA,286,Los Angeles Unified School District,0622710,"17000 Haynes Street, 
Lake Balboa, CA  91406",(818) 758-5200,(818) 342-5877,http://birminghamcharter.com,062271002857,34.188953,-118.5049,https://www.greatschools.org/california/lake-balboa/1936-Birmingham-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lake-balboa/1936-Birmingham-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lake-balboa/1936-Birmingham-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/lake-balboa/1936-Birmingham-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Canoga Park Senior High,1971,Canoga Park Senior High School,public,9-12,1434,3,3,Canoga Park,CA,286,Los Angeles Unified School District,0622710,"6850 Topanga Canyon Boulevard, 
Canoga Park, CA  91303",(818) 673-1300,(818) 702-8942,www.canogaparkhs.org,062271002890,34.19557,-118.60579,https://www.greatschools.org/california/canoga-park/1971-Canoga-Park-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/canoga-park/1971-Canoga-Park-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/canoga-park/1971-Canoga-Park-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/canoga-park/1971-Canoga-Park-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Carson Senior High,1980,Carson Senior High School,public,9-12,1560,3,3,Carson,CA,286,Los Angeles Unified School District,0622710,"22328 South Main Street, 
Carson, CA  90745",(310) 847-6000,(310) 518-5817,www.carsonhs-lausd-ca.schoolloop.com,062271002899,33.823776,-118.27575,https://www.greatschools.org/california/carson/1980-Carson-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carson/1980-Carson-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carson/1980-Carson-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/carson/1980-Carson-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
