,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students,zip_code_GS,schoolname4merge
Ramon C. Cortines School of Visual and Performing Arts,24999.0,Ramon C. Cortines School Of Visual And Performing Arts,public,9-12,1527.0,6.0,4.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"450 North Grand Avenue, 
Los Angeles, CA  90012",(213) 217-8600,(213) 928-0933,www.central-lausd-ca.schoolloop.com,62271012439.0,34.059536,-118.24492,https://www.greatschools.org/california/los-angeles/24999-Ramon-C.-Cortines-School-Of-Visual-And-Performing-Arts/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/24999-Ramon-C.-Cortines-School-Of-Visual-And-Performing-Arts/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/24999-Ramon-C.-Cortines-School-Of-Visual-And-Performing-Arts/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/24999-Ramon-C.-Cortines-School-Of-Visual-And-Performing-Arts/?utm_source=GSAPI&utm_medium=referral,7.0,5.0,,4.0,,4.0,,27.0,218.0,77.0,100.0,82179.0,5.0,4.0,7.0,58.0,346.0,51.0,242.0,20.0,347.0,18.0,242.0,71.0,69.0,92.0,92.0,73.0,90012.0,Ramon C. Cortines School of Visual and Performing Arts
Felicitas and Gonzalo Mendez High,25177.0,Felicitas And Gonzalo Mendez High,public,9-12,913.0,3.0,5.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"1200 Plaza Del Sol, 
Los Angeles, CA  90033",(323) 981-5400,(323) 307-0788,www.mendezhs.org/,62271012438.0,34.048813,-118.22762,https://www.greatschools.org/california/los-angeles/25177-Felicitas-And-Gonzalo-Mendez-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25177-Felicitas-And-Gonzalo-Mendez-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25177-Felicitas-And-Gonzalo-Mendez-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25177-Felicitas-And-Gonzalo-Mendez-High/?utm_source=GSAPI&utm_medium=referral,1.0,5.0,,4.0,,5.0,,18.0,229.0,82.0,92.0,71511.0,5.0,5.0,8.0,52.0,185.0,51.0,170.0,26.0,185.0,25.0,171.0,53.0,53.0,90.0,91.0,89.0,90033.0,Felicitas and Gonzalo Mendez High
Daniel Pearl Journalism & Communications Magnet,25107.0,Daniel Pearl Journalism & Communications Magnet School,public,9-12,366.0,8.0,5.0,Lake Balboa,CA,286.0,Los Angeles Unified School District,622710.0,"6649 Balboa Boulevard, 
Lake Balboa, CA  91406",(818) 654-3775,(818) 654-3701,www.pearlmagnet.org,62271012525.0,34.191307,-118.50188,https://www.greatschools.org/california/lake-balboa/25107-Daniel-Pearl-Journalism-&-Communications-Magnet-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lake-balboa/25107-Daniel-Pearl-Journalism-&-Communications-Magnet-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lake-balboa/25107-Daniel-Pearl-Journalism-&-Communications-Magnet-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/lake-balboa/25107-Daniel-Pearl-Journalism-&-Communications-Magnet-School/?utm_source=GSAPI&utm_medium=referral,8.0,7.0,,7.0,,6.0,,22.0,185.0,94.0,94.0,84068.0,7.0,6.0,9.0,65.0,75.0,60.0,48.0,30.0,73.0,21.0,47.0,78.0,74.0,98.0,97.0,56.0,91406.0,Daniel Pearl Journalism & Communications Magnet
Alliance Cindy and Bill Simon Technology Academy High,25285.0,Alliance Cindy And Bill Simon Technology Academy High,charter,9-12,514.0,6.0,,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"10720 South Wilmington Avenue, 
Los Angeles, CA  90059",(323) 744-2122,(213) 943-4931,http://simontechnology.org,62271012567.0,33.938477,-118.23896,https://www.greatschools.org/california/los-angeles/25285-Alliance-Cindy-And-Bill-Simon-Technology-Academy-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25285-Alliance-Cindy-And-Bill-Simon-Technology-Academy-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25285-Alliance-Cindy-And-Bill-Simon-Technology-Academy-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25285-Alliance-Cindy-And-Bill-Simon-Technology-Academy-High/?utm_source=GSAPI&utm_medium=referral,5.0,6.0,,5.0,,6.0,,25.0,163.0,100.0,100.0,68547.0,6.0,6.0,6.0,63.0,132.0,63.0,127.0,,,,,100.0,100.0,100.0,100.0,99.0,90059.0,Alliance Cindy and Bill Simon Technology Academy High
Alliance Tennenbaum Family Technology High,25748.0,Alliance Tennenbaum Family Technology High,charter,9-12,408.0,6.0,4.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"2050 San Fernando Road, 
Los Angeles, CA  90065",(323) 276-5545,,http://atams.org,62271012572.0,34.29046,-118.44949,https://www.greatschools.org/california/los-angeles/25748-Alliance-Tennenbaum-Family-Technology-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25748-Alliance-Tennenbaum-Family-Technology-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25748-Alliance-Tennenbaum-Family-Technology-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25748-Alliance-Tennenbaum-Family-Technology-High/?utm_source=GSAPI&utm_medium=referral,3.0,7.0,,7.0,,7.0,,26.0,193.0,100.0,100.0,57552.0,7.0,7.0,7.0,64.0,90.0,63.0,82.0,,,,,95.0,94.0,94.0,94.0,91.0,90065.0,Alliance Tennenbaum Family Technology High
"Math, Science, & Technology Magnet Academy at Roosevelt High",2496.0,Windsor Hills Math Science,public,K-5,530.0,4.0,4.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"5215 Overdale Drive, 
Los Angeles, CA  90043",(323) 293-6251,(323) 293-2021,www.windsorhillsmagnetschool.com,62271007770.0,33.995743,-118.35538,https://www.greatschools.org/california/los-angeles/2496-Windsor-Hills-Math-Science/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/2496-Windsor-Hills-Math-Science/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/2496-Windsor-Hills-Math-Science/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/2496-Windsor-Hills-Math-Science/?utm_source=GSAPI&utm_medium=referral,,,,,,,,23.0,266.0,78.0,100.0,82823.0,4.0,3.0,6.0,51.0,88.0,36.0,214.0,19.0,88.0,23.0,214.0,,,,,76.0,90043.0,"Math, Science, & Technology Magnet Academy at Roosevelt High"
Esteban Torres East LA Performing Arts Magnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esteban Torres East LA Performing Arts Magnet
Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,25437.0,Humanitas Academy Of Art And Technology At Esteban E. Torres High No. 4,public,9-12,493.0,4.0,,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"4211 Dozier Street, 
Los Angeles, CA  90063",(323) 265-6830,(323) 265-6831,www.haateastla.org,62271012711.0,34.041553,-118.17547,https://www.greatschools.org/california/los-angeles/25437-Humanitas-Academy-Of-Art-And-Technology-At-Esteban-E.-Torres-High-No.-4/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25437-Humanitas-Academy-Of-Art-And-Technology-At-Esteban-E.-Torres-High-No.-4/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25437-Humanitas-Academy-Of-Art-And-Technology-At-Esteban-E.-Torres-High-No.-4/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25437-Humanitas-Academy-Of-Art-And-Technology-At-Esteban-E.-Torres-High-No.-4/?utm_source=GSAPI&utm_medium=referral,4.0,4.0,,4.0,,4.0,,23.0,207.0,78.0,100.0,82964.0,4.0,4.0,4.0,52.0,86.0,52.0,82.0,,,,,55.0,54.0,90.0,89.0,90.0,90063.0,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4
Social Justice Leadership Academy at Esteban E. Torres High No. 5,25474.0,Social Justice Leadership Academy At Esteban E. Torres High No. 5,public,9-12,406.0,3.0,,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"4211 Dozier Street, 
Los Angeles, CA  90063",(323) 265-6865,(323) 265-6866,,62271012720.0,34.041553,-118.17547,https://www.greatschools.org/california/los-angeles/25474-Social-Justice-Leadership-Academy-At-Esteban-E.-Torres-High-No.-5/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25474-Social-Justice-Leadership-Academy-At-Esteban-E.-Torres-High-No.-5/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25474-Social-Justice-Leadership-Academy-At-Esteban-E.-Torres-High-No.-5/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25474-Social-Justice-Leadership-Academy-At-Esteban-E.-Torres-High-No.-5/?utm_source=GSAPI&utm_medium=referral,1.0,3.0,,3.0,,3.0,,24.0,205.0,82.0,94.0,86126.0,3.0,3.0,3.0,36.0,83.0,39.0,74.0,,,,,64.0,64.0,84.0,86.0,89.0,90063.0,Social Justice Leadership Academy at Esteban E. Torres High No. 5
East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,25359.0,East Los Angeles Renaissance Academy At Esteban E. Torres High No. 2,public,9-12,402.0,4.0,4.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"4211 Dozier Street, 
Los Angeles, CA  90063",(323) 265-6760,(323) 265-6761,,62271012657.0,34.041553,-118.17547,https://www.greatschools.org/california/los-angeles/25359-East-Los-Angeles-Renaissance-Academy-At-Esteban-E.-Torres-High-No.-2/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25359-East-Los-Angeles-Renaissance-Academy-At-Esteban-E.-Torres-High-No.-2/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25359-East-Los-Angeles-Renaissance-Academy-At-Esteban-E.-Torres-High-No.-2/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25359-East-Los-Angeles-Renaissance-Academy-At-Esteban-E.-Torres-High-No.-2/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,5.0,,5.0,,21.0,401.0,74.0,95.0,73522.0,5.0,5.0,5.0,63.0,75.0,62.0,74.0,,,,,47.0,46.0,88.0,88.0,88.0,90063.0,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2
Engineering and Technology Academy at Esteban E. Torres High No. 3,25426.0,Engineering And Technology Academy At Esteban E. Torres High No. 3,public,9-12,413.0,4.0,5.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"4211 Dozier Street, 
Los Angeles, CA  90063",(323) 265-6795,(323) 265-6796,http://entech.estebantorreshighschool.com/entechhome/,62271012819.0,34.041553,-118.17547,https://www.greatschools.org/california/los-angeles/25426-Engineering-And-Technology-Academy-At-Esteban-E.-Torres-High-No.-3/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25426-Engineering-And-Technology-Academy-At-Esteban-E.-Torres-High-No.-3/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25426-Engineering-And-Technology-Academy-At-Esteban-E.-Torres-High-No.-3/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25426-Engineering-And-Technology-Academy-At-Esteban-E.-Torres-High-No.-3/?utm_source=GSAPI&utm_medium=referral,4.0,4.0,,4.0,,4.0,,18.0,207.0,100.0,96.0,77148.0,4.0,4.0,4.0,44.0,62.0,43.0,60.0,,,,,54.0,55.0,84.0,83.0,87.0,90063.0,Engineering and Technology Academy at Esteban E. Torres High No. 3
PUC Lakeview Charter High,25276.0,Puc Lakeview Charter High School,charter,9-12,416.0,7.0,5.0,Sylmar,CA,286.0,Los Angeles Unified School District,622710.0,"13361 Glenoaks Boulevard, 
Sylmar, CA  91342",(818) 356-2591,(818) 559-8641,http://pucschools.org,62271012816.0,34.31419,-118.45976,https://www.greatschools.org/california/sylmar/25276-Puc-Lakeview-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sylmar/25276-Puc-Lakeview-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sylmar/25276-Puc-Lakeview-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sylmar/25276-Puc-Lakeview-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,8.0,,9.0,,8.0,,18.0,316.0,39.0,94.0,43751.0,8.0,8.0,9.0,69.0,96.0,66.0,71.0,42.0,96.0,39.0,71.0,100.0,100.0,95.0,95.0,74.0,91342.0,PUC Lakeview Charter High
Alliance Susan and Eric Smidt Technology High,25810.0,Alliance Susan And Eric Smidt Technology High School,charter,9-12,514.0,5.0,5.0,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"211 South Avenue 20, 
Los Angeles, CA  90031",(323) 352-3206,,http://smidttech.org,62271012817.0,34.07237,-118.22022,https://www.greatschools.org/california/los-angeles/25810-Alliance-Susan-And-Eric-Smidt-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25810-Alliance-Susan-And-Eric-Smidt-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25810-Alliance-Susan-And-Eric-Smidt-Technology-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25810-Alliance-Susan-And-Eric-Smidt-Technology-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,5.0,,5.0,,5.0,,24.0,261.0,100.0,100.0,59295.0,5.0,5.0,5.0,54.0,132.0,52.0,126.0,,,,,97.0,97.0,90.0,90.0,91.0,90031.0,Alliance Susan and Eric Smidt Technology High
Alliance Ted K. Tajima High,25744.0,Alliance Ted K. Tajima High ,charter,9-12,341.0,7.0,,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"1552 Rockwood Street, 
Los Angeles, CA  90026",(213) 241-8533,,http://www.tajimahigh.org/,62271012766.0,34.06348,-118.261536,https://www.greatschools.org/california/los-angeles/25744-Alliance-Ted-K.-Tajima-High-/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25744-Alliance-Ted-K.-Tajima-High-/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25744-Alliance-Ted-K.-Tajima-High-/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25744-Alliance-Ted-K.-Tajima-High-/?utm_source=GSAPI&utm_medium=referral,2.0,10.0,,10.0,,10.0,,18.0,266.0,100.0,100.0,52754.0,10.0,10.0,10.0,84.0,61.0,83.0,54.0,55.0,60.0,57.0,53.0,100.0,100.0,92.0,92.0,88.0,90026.0,Alliance Ted K. Tajima High
Valley Academy of Arts and Sciences,25737.0,Valley Academy Of Arts And Sciences,public,9-12,1201.0,6.0,4.0,Granada Hills,CA,286.0,Los Angeles Unified School District,622710.0,"10445 Balboa Boulevard, 
Granada Hills, CA  91344",(818) 832-7750,(818) 368-5140,www.thevalleyacademy.net,62271012946.0,34.260353,-118.50353,https://www.greatschools.org/california/granada-hills/25737-Valley-Academy-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/granada-hills/25737-Valley-Academy-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/granada-hills/25737-Valley-Academy-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/granada-hills/25737-Valley-Academy-Of-Arts-And-Sciences/?utm_source=GSAPI&utm_medium=referral,6.0,4.0,,4.0,,3.0,,27.0,401.0,80.0,98.0,82328.0,4.0,3.0,6.0,55.0,244.0,50.0,158.0,15.0,247.0,9.0,160.0,65.0,64.0,92.0,93.0,61.0,91344.0,Valley Academy of Arts and Sciences
Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag
Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,25735.0,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,public,9-12,509.0,6.0,5.0,San Fernando,CA,286.0,Los Angeles Unified School District,622710.0,"1001 Arroyo Avenue, 
San Fernando, CA  91340",(818) 838-3915,(818) 838-6759,http://www.edline.net/pages/SJHA,62271012895.0,34.288464000000005,-118.42073,https://www.greatschools.org/california/san-fernando/25735-Cesar-E.-Chavez-Learning-Academies-Social-Justice-Humanitas-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-fernando/25735-Cesar-E.-Chavez-Learning-Academies-Social-Justice-Humanitas-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-fernando/25735-Cesar-E.-Chavez-Learning-Academies-Social-Justice-Humanitas-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-fernando/25735-Cesar-E.-Chavez-Learning-Academies-Social-Justice-Humanitas-Academy/?utm_source=GSAPI&utm_medium=referral,6.0,6.0,,7.0,,6.0,,18.0,255.0,71.0,96.0,65633.0,6.0,6.0,7.0,64.0,106.0,64.0,92.0,25.0,107.0,24.0,93.0,90.0,90.0,95.0,96.0,88.0,91340.0,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy
Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE)
Cesar E. Chavez Learning Academies-Technology Preparatory Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar E. Chavez Learning Academies-Technology Preparatory Academy
Dr. Maya Angelou Community High,25727.0,Social Justice Schools: Fine Arts Academy At Dr. Maya Angelou Community High,public,9-12,1116.0,2.0,,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"300 East 53rd Street, 
Los Angeles, CA  90011",(323) 846-4600,,www.lausd.net/MayaAngelouCommunityHighSchool,62271012871.0,33.99422,-118.2701,https://www.greatschools.org/california/los-angeles/25727-Social-Justice-Schools:-Fine-Arts-Academy-At-Dr.-Maya-Angelou-Community-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25727-Social-Justice-Schools:-Fine-Arts-Academy-At-Dr.-Maya-Angelou-Community-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25727-Social-Justice-Schools:-Fine-Arts-Academy-At-Dr.-Maya-Angelou-Community-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25727-Social-Justice-Schools:-Fine-Arts-Academy-At-Dr.-Maya-Angelou-Community-High/?utm_source=GSAPI&utm_medium=referral,1.0,2.0,,2.0,,2.0,,26.0,279.0,91.0,100.0,86295.0,2.0,2.0,2.0,39.0,135.0,38.0,128.0,,,,,53.0,53.0,61.0,62.0,87.0,90011.0,Dr. Maya Angelou Community High
Public Service Community at Diego Rivera Learning Complex,25726.0,Public Service Community At Diego Rivera Learning Complex,public,9-12,527.0,5.0,,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"6100 South Central Avenue, 
Los Angeles, CA  90001",(323) 846-2128,,www.publicservicehs.org,62271012971.0,33.984123,-118.25611,https://www.greatschools.org/california/los-angeles/25726-Public-Service-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25726-Public-Service-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25726-Public-Service-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25726-Public-Service-Community-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,3.0,6.0,,6.0,,6.0,,28.0,175.0,58.0,95.0,79141.0,6.0,6.0,6.0,64.0,127.0,65.0,120.0,,,,,71.0,71.0,80.0,84.0,90.0,90001.0,Public Service Community at Diego Rivera Learning Complex
Communication and Technology at Diego Rivera Learning Complex,25725.0,Communication And Technology At Diego Rivera Learning Complex,public,9-12,542.0,3.0,,Los Angeles,CA,286.0,Los Angeles Unified School District,622710.0,"6100 South Central Avenue, 
Los Angeles, CA  90001",(323) 846-2118,,www.drlc-lausd-ca.schoolloop.com,62271012973.0,33.984123,-118.25611,https://www.greatschools.org/california/los-angeles/25725-Communication-And-Technology-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25725-Communication-And-Technology-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/los-angeles/25725-Communication-And-Technology-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/los-angeles/25725-Communication-And-Technology-At-Diego-Rivera-Learning-Complex/?utm_source=GSAPI&utm_medium=referral,4.0,3.0,,3.0,,3.0,,27.0,271.0,70.0,95.0,86946.0,3.0,3.0,3.0,40.0,107.0,42.0,100.0,,,,,90.0,90.0,73.0,76.0,88.0,90001.0,Communication and Technology at Diego Rivera Learning Complex
